path,size_bytes,mtime,git_last_commit,inbound_refs
.claude/settings.local.json,82,2026-04-17,2026-04-20,0
.codacy/codacy.yaml,148,2026-04-18,2026-04-20,0
.pre-commit-config.yaml,932,2026-06-29,2026-06-03,0
alembic/versions/6b9eb59e6fa6_initial_schema.py,11740,2026-06-29,2026-06-29,0
alembic/versions/99a3fbb1cfa8_add_book_hidden_password.py,1417,2026-06-29,2026-06-29,0
alembic/versions/a1c2d3e4f5g6_add_reading_goals_table.py,1098,2026-06-29,2026-06-03,0
alembic/versions/c4f1a2b3c4d5_add_books_fts.py,2852,2026-06-29,2026-06-29,0
alembic/versions/g4b5c6d7e8f9_add_soft_delete.py,1286,2026-06-30,2026-06-30,0
docker-compose.yml,1248,2026-06-29,2026-06-03,0
docs/calibre-reader-deeplink.md,5091,2026-06-30,2026-06-30,0
docs/calibre-web-elibrary.user.js,4472,2026-07-01,2026-07-01,0
docs/frontend-modernization.md,5697,2026-08-05,2026-08-05,0
final_report.md,34205,2026-06-29,2026-05-02,0
frontend/eslint.config.js,1852,2026-08-05,2026-08-05,0
frontend/package-lock.json,53389,2026-08-05,2026-08-05,0
frontend/static/js/reader/tts-bridge.js,2982,2026-06-29,2026-06-29,0
frontend/static/js/resize-sidebar.js,3374,2026-06-29,2026-04-20,0
packaging/deb/build-deb.sh,8328,2026-06-30,2026-06-30,0
packaging/deb/elibrary-manager.service,1294,2026-06-30,2026-06-30,0
packaging/deb/run-server.sh,514,2026-06-30,2026-06-30,0
scripts/setup_nas_mount.sh,2550,2026-04-17,2026-04-20,0
specs/001-library-management.md,26608,2026-04-18,2026-04-20,0
specs/002-reader-interface.md,28007,2026-04-18,2026-04-20,0
specs/003-ai-summarization.md,22041,2026-04-17,2026-04-20,0
specs/004-bookmarks.md,12503,2026-04-17,2026-04-20,0
specs/005-notes-annotations.md,17694,2026-04-17,2026-04-20,0
specs/006-text-to-speech.md,10508,2026-04-17,2026-04-20,0
specs/007-settings.md,25718,2026-04-18,2026-04-20,0
specs/008-file-parsers.md,27608,2026-04-18,2026-04-20,0
specs/009-nas-integration.md,2726,2026-04-18,2026-04-20,0
specs/010-hidden-books.md,3649,2026-06-29,2026-06-29,0
specs/011-calibre-integration.md,11607,2026-08-05,2026-08-05,0
specs/012-full-text-search.md,5962,2026-06-30,2026-06-30,0
specs/013-calibre-reader-deeplink.md,5418,2026-06-30,2026-06-30,0
tests/test_ai_engine.py,7354,2026-08-05,2026-08-05,0
tests/test_parsers.py,3055,2026-08-05,2026-08-05,0
tests/test_ratelimit.py,2487,2026-08-05,2026-08-05,0
tests/test_repositories.py,8723,2026-06-29,2026-06-29,0
tests/test_security.py,2672,2026-06-29,2026-06-29,0
tests/test_security_session.py,6538,2026-06-29,2026-06-29,0
CLAUDE.md,13269,2026-06-29,2026-06-29,1
README.md,9921,2026-06-29,2026-06-29,1
alembic/versions/e2f3a4b5c6d7_add_calibre_sync_and_series.py,1822,2026-06-30,2026-06-30,1
alembic/versions/f3a4b5c6d7e8_add_content_search.py,3232,2026-06-30,2026-06-30,1
backend/app/services/maintenance_service.py,19420,2026-06-29,2026-06-29,1
docs/ARCHITECTURE.md,11370,2026-04-20,2026-04-20,1
docs/DEPLOYMENT.md,8915,2026-04-20,2026-04-20,1
tests/conftest.py,2473,2026-08-05,2026-06-29,1
tests/test_api_extended.py,13057,2026-06-29,2026-06-29,1
tests/test_content_search.py,14897,2026-08-05,2026-08-05,1
tests/test_series.py,4411,2026-08-05,2026-08-05,1
.github/workflows/ci.yml,2298,2026-08-05,2026-08-05,2
alembic/versions/d1e2f3a4b5c6_add_calibre_columns.py,1438,2026-06-30,2026-06-30,2
backend/app/edgetts_service.py,6409,2026-06-29,2026-06-29,2
backend/app/gtts_service.py,6525,2026-06-29,2026-06-29,2
conductor/plan.md,855,2026-06-29,2026-04-29,2
tests/test_calibre.py,30727,2026-07-01,2026-07-01,2
tests/test_scanner.py,2355,2026-06-29,2026-06-29,2
backend/app/ai_providers/google_provider.py,4694,2026-08-05,2026-08-05,3
backend/app/ai_providers/ollama_provider.py,3952,2026-06-29,2026-06-29,3
backend/app/security_middleware.py,5904,2026-06-29,2026-06-29,3
backend/app/services/calibre_importer.py,20281,2026-06-30,2026-06-30,3
backend/app/services/calibre_sync_monitor.py,3411,2026-06-30,2026-06-30,3
frontend/static/js/lib/dom.js,3173,2026-08-05,2026-08-05,3
frontend/static/js/reader/ui.js,5627,2026-06-30,2026-06-30,3
backend/app/nas_health.py,2578,2026-06-30,2026-06-30,4
backend/app/services/content_backfill_service.py,6466,2026-07-01,2026-07-01,4
backend/app/services/content_extractor.py,4616,2026-07-01,2026-07-01,4
backend/app/storage/factory.py,1863,2026-06-29,2026-06-29,4
pyproject.toml,2429,2026-08-05,2026-08-05,4
specs/INDEX.md,3086,2026-08-05,2026-08-05,4
backend/app/chapter_cache.py,5314,2026-06-29,2026-06-29,5
backend/app/scan_progress.py,4637,2026-06-29,2026-06-29,5
backend/app/services/calibre_sync_service.py,5513,2026-06-30,2026-06-30,5
backend/app/services/categorization_service.py,9575,2026-06-29,2026-06-29,5
backend/app/nas_cache.py,6636,2026-06-29,2026-06-29,6
backend/app/parsers/mobi_parser.py,16629,2026-06-29,2026-06-29,6
tests/test_api.py,2072,2026-06-29,2026-06-03,6
backend/app/parsers/epub_parser.py,21931,2026-06-29,2026-06-29,7
backend/app/parsers/image_service.py,7232,2026-06-29,2026-06-29,7
backend/app/reader_engine.py,3366,2026-06-29,2026-06-29,7
backend/app/routes/ai_tts.py,11002,2026-06-29,2026-06-29,7
backend/app/routes/maintenance.py,10393,2026-06-29,2026-06-29,7
frontend/templates/maintenance.html,32502,2026-06-30,2026-06-30,7
backend/app/middleware.py,5985,2026-06-30,2026-06-30,8
backend/app/parsers/pdf_parser.py,31673,2026-06-29,2026-06-29,8
backend/app/services/library_service.py,23959,2026-06-30,2026-06-30,8
frontend/static/js/reader/globals.js,3912,2026-06-30,2026-06-30,8
backend/app/utils.py,544,2026-06-29,2026-06-29,9
frontend/static/js/reader/panels.js,12555,2026-06-30,2026-06-30,9
backend/app/ai_engine.py,9294,2026-08-05,2026-08-05,10
backend/app/routes/auth.py,3678,2026-06-29,2026-06-29,10
frontend/package.json,646,2026-06-29,2026-06-29,10
frontend/static/js/reader/init.js,11410,2026-06-30,2026-06-30,10
backend/app/auth.py,8183,2026-06-29,2026-06-29,11
backend/app/scanner.py,15721,2026-06-30,2026-06-30,11
backend/app/services/reader_service.py,19625,2026-08-05,2026-08-05,11
alembic.ini,5008,2026-06-29,2026-06-03,13
frontend/templates/login.html,3526,2026-04-20,2026-04-20,13
backend/app/routes/calibre.py,12427,2026-07-01,2026-07-01,14
backend/app/security.py,2916,2026-06-29,2026-06-29,14
frontend/build.mjs,1857,2026-06-29,2026-06-29,15
backend/app/routes/categories.py,7348,2026-06-29,2026-06-29,17
frontend/static/js/theme.js,2602,2026-06-29,2026-06-29,18
backend/app/ai_providers/base.py,3144,2026-06-29,2026-06-29,19
start.sh,4631,2026-04-29,2026-04-29,19
backend/app/routes/stats.py,12542,2026-06-29,2026-06-29,20
backend/app/storage/nas.py,3644,2026-06-29,2026-06-29,20
frontend/templates/base.html,666,2026-04-20,2026-04-20,20
alembic/env.py,2345,2026-08-05,2026-08-05,21
frontend/static/js/tts.js,44156,2026-06-29,2026-06-29,22
frontend/static/js/reader/chapters.js,27791,2026-06-30,2026-06-30,24
backend/app/main.py,14461,2026-06-30,2026-06-30,25
frontend/static/css/main.css,108856,2026-06-30,2026-06-30,25
backend/app/exceptions.py,2304,2026-06-29,2026-06-29,27
frontend/static/js/lib/storage.js,2977,2026-08-05,2026-08-05,27
backend/app/__init__.py,84,2026-04-18,2026-04-20,29
backend/app/ai_providers/__init__.py,318,2026-04-29,2026-04-29,29
backend/app/parsers/__init__.py,240,2026-04-18,2026-04-20,29
backend/app/repositories.py,39392,2026-08-05,2026-08-05,29
backend/app/routes/__init__.py,0,2026-04-18,2026-04-20,29
backend/app/services/__init__.py,182,2026-04-18,2026-04-20,29
backend/app/storage/__init__.py,1720,2026-06-29,2026-06-29,29
backend/app/storage/local.py,334,2026-06-29,2026-06-03,29
backend/app/models.py,17526,2026-06-30,2026-06-30,30
backend/app/routes/hidden.py,7461,2026-06-29,2026-06-29,31
backend/app/schemas.py,15985,2026-06-30,2026-06-30,31
frontend/static/js/reader/annotations.js,19343,2026-06-30,2026-06-30,32
frontend/static/js/reader/search.js,6968,2026-06-29,2026-06-29,34
frontend/static/js/reader/state.js,5510,2026-06-30,2026-06-30,36
frontend/static/js/reader/summary.js,14184,2026-06-29,2026-06-29,36
backend/app/config.py,4367,2026-08-05,2026-08-05,37
backend/app/database.py,6198,2026-08-05,2026-08-05,39
backend/app/logging_config.py,1851,2026-06-29,2026-06-29,39
docs/API.md,10979,2026-04-20,2026-04-20,40
backend/app/routes/settings.py,9734,2026-06-30,2026-06-30,47
frontend/static/js/reader/settings.js,15759,2026-06-29,2026-06-29,47
frontend/static/js/settings.js,29256,2026-06-30,2026-06-30,47
frontend/templates/settings.html,49206,2026-06-30,2026-06-30,47
backend/app/routes/reader.py,20439,2026-06-29,2026-06-29,50
frontend/static/css/reader.css,85650,2026-06-30,2026-06-30,50
frontend/templates/reader.html,39022,2026-08-05,2026-08-05,50
frontend/static/js/lib/api.js,4120,2026-08-05,2026-08-05,58
backend/app/routes/library.py,38375,2026-08-05,2026-08-05,65
frontend/static/js/library.js,108656,2026-08-05,2026-08-05,65
frontend/templates/library.html,39423,2026-08-05,2026-08-05,65
.dockerignore,250,2026-04-29,2026-04-29,0
.env.example,1067,2026-06-29,2026-06-03,0
.gitignore,789,2026-08-05,2026-08-05,0
Dockerfile,2184,2026-06-29,2026-06-29,0
Makefile,1828,2026-06-29,2026-06-29,0
alembic/README,38,2026-06-29,2026-06-03,0
alembic/script.py.mako,704,2026-06-29,2026-06-03,0
frontend/static/images/no-cover.svg,1301,2026-04-18,2026-04-20,0
packaging/deb/elibrary-manager.desktop,338,2026-06-29,2026-06-29,0
packaging/deb/elibrary-manager.svg,3640,2026-06-29,2026-06-29,0
packaging/deb/postinst,6076,2026-06-30,2026-06-30,0
packaging/deb/postrm,1041,2026-06-29,2026-06-29,0
packaging/deb/preinst,599,2026-06-29,2026-06-29,0
packaging/deb/prerm,194,2026-06-29,2026-06-29,0
uploads/12 Rules for Life - Jordan Peterson.pdf,12620719,2026-04-18,2026-04-20,0
uploads/14 Cursor Based Pagination Combine.pdf,1947912,2026-04-18,2026-04-20,0
"uploads/ABCs of Human Behavior. Behavioral Principles for the Practicing Clinician (Jonas Ramnero,Niklas Torneke,Kelly Wilson) (z-library.sk, 1lib.sk, z-lib.sk).epub",2594889,2026-04-18,2026-04-20,0
uploads/Clinical Psychology Combine.pdf,15183244,2026-04-18,2026-04-20,0
uploads/Fitness-Counts-Book-2025.pdf,6829592,2026-04-18,2026-04-20,0
"uploads/Google Prompt Engineering (Lee Boonstra) (z-library.sk, 1lib.sk, z-lib.sk).pdf",6816989,2026-04-18,2026-04-20,0
